t,icp_pos_err_mm
29.476000,12.1013
29.501000,10.1917
29.526000,12.0387
29.551000,11.5434
29.576000,3.3186
29.626000,5.6100
29.676000,1.2123
29.701000,7.2120
29.776000,6.4988
29.801000,7.9253
29.851000,1.2923
29.876000,3.2064
29.926000,1.4792
29.951000,5.2455
29.976000,7.8362
30.026000,7.6683
30.051000,6.5415
30.101000,6.2708
30.126000,7.9493
30.176000,1.9669
30.226000,9.2796
30.251000,4.4927
30.276000,3.6933
30.301000,6.1543
30.326000,6.5110
30.376000,6.2051
30.401000,4.0457
30.426000,6.9121
30.451000,6.8900
30.476000,6.1706
30.501000,9.8229
30.526000,3.8296
30.576000,7.3523
30.651000,3.2456
30.676000,4.7680
30.726000,3.1081
30.751000,7.7955
30.776000,5.4475
30.801000,11.1888
30.826000,7.8112
30.876000,3.9498
30.901000,4.5762
30.926000,7.9968
30.951000,3.3865
30.976000,1.6832
31.001000,5.1323
31.026000,6.7166
31.076000,6.1589
31.151000,4.8155
31.176000,8.9660
31.226000,7.2344
31.251000,7.5892
31.276000,3.8078
31.326000,8.2288
31.351000,10.9742
31.376000,5.6043
31.401000,5.5512
31.426000,8.5629
31.451000,4.4265
31.476000,11.8014
31.501000,5.1965
31.526000,7.0961
31.551000,11.9269
31.576000,16.5286
31.601000,10.1377
31.626000,6.3926
31.651000,7.7173
31.676000,9.8244
31.701000,12.7062
31.726000,12.2010
31.751000,12.4084
31.776000,10.0786
31.826000,12.0603
31.876000,15.5244
31.901000,12.0781
31.951000,14.0705
31.976000,13.1316
32.001000,14.3976
32.026000,11.6233
32.051000,12.2795
32.101000,9.5808
32.126000,7.8944
32.151000,9.7795
32.176000,8.6861
32.201000,8.3677
32.226000,10.6938
32.251000,7.6946
32.276000,10.0860
32.301000,10.5110
32.326000,7.3011
32.376000,8.4826
32.401000,9.6144
32.426000,10.0744
32.451000,9.2893
32.476000,8.2713
32.501000,10.4032
32.526000,10.8709
32.551000,9.3278
32.576000,8.0327
32.601000,7.7340
32.626000,7.7994
32.651000,9.2031
32.676000,8.0943
32.701000,8.6154
32.726000,8.8582
32.751000,9.4053
32.776000,10.1002
32.826000,6.7521
32.851000,9.0707
32.876000,8.2184
32.901000,7.4903
32.926000,9.5801
32.976000,9.9131
