t,along_track_mm,cross_track_mm,speed_mps
1.050000,-3.4914,-1.4981,0.0036
1.051000,-3.4889,-1.4957,0.0036
1.052000,-3.4874,-1.4907,0.0036
1.053000,-3.4857,-1.4860,0.0036
1.054000,-3.4845,-1.4803,0.0037
1.055000,-3.4825,-1.4764,0.0037
1.056000,-3.4806,-1.4722,0.0037
1.057000,-3.4787,-1.4680,0.0037
1.058000,-3.4767,-1.4639,0.0037
1.059000,-3.4750,-1.4591,0.0037
1.060000,-3.4735,-1.4538,0.0037
1.061000,-3.4707,-1.4516,0.0037
1.062000,-3.4681,-1.4490,0.0037
1.063000,-3.4659,-1.4452,0.0038
1.064000,-3.4641,-1.4406,0.0038
1.065000,-3.4611,-1.4387,0.0038
1.066000,-3.4588,-1.4352,0.0038
1.067000,-3.4570,-1.4303,0.0038
1.068000,-3.4544,-1.4274,0.0038
1.069000,-3.4519,-1.4243,0.0038
1.070000,-3.4494,-1.4210,0.0038
1.071000,-3.4468,-1.4180,0.0038
1.072000,-3.4443,-1.4148,0.0038
1.073000,-3.4417,-1.4118,0.0039
1.074000,-3.4384,-1.4104,0.0039
1.075000,-3.4345,-1.4104,0.0039
1.076000,-3.4311,-1.4095,0.0039
1.077000,-3.4274,-1.4090,0.0039
1.078000,-3.4231,-1.4099,0.0039
1.079000,-3.4191,-1.4100,0.0039
1.080000,-3.4155,-1.4093,0.0039
1.081000,-3.4122,-1.4078,0.0039
1.082000,-3.4084,-1.4075,0.0039
1.083000,-3.4050,-1.4062,0.0040
1.084000,-3.4020,-1.4037,0.0040
1.085000,-3.3988,-1.4018,0.0040
1.086000,-3.3958,-1.3995,0.0040
1.087000,-3.3926,-1.3977,0.0040
1.088000,-3.3897,-1.3949,0.0040
1.089000,-3.3877,-1.3900,0.0040
1.090000,-3.3851,-1.3864,0.0040
1.091000,-3.3818,-1.3845,0.0040
1.092000,-3.3783,-1.3833,0.0040
1.093000,-3.3746,-1.3825,0.0041
1.094000,-3.3706,-1.3824,0.0041
1.095000,-3.3667,-1.3819,0.0041
1.096000,-3.3621,-1.3831,0.0041
