t,ax,ay,az,gx,gy,gz
0.185000,0.048782,-0.021691,9.798847,-0.000094,-0.001065,0.006303
0.186000,0.036432,-0.051676,9.806507,0.001541,0.000135,0.005285
0.187000,0.045904,-0.029102,9.807122,0.001388,0.000176,0.006433
0.188000,0.046265,-0.035600,9.810404,0.000243,0.000218,0.004296
0.189000,0.044606,-0.039862,9.784412,-0.001977,-0.000830,0.005960
0.190000,0.052741,-0.012001,9.806208,0.000174,0.001486,0.005968
0.191000,0.060531,-0.026366,9.816918,-0.000478,0.000891,0.005436
0.192000,0.045638,-0.029442,9.815480,0.001590,-0.000243,0.005368
0.193000,0.054350,-0.027271,9.809276,0.000715,0.000225,0.005736
0.194000,0.048462,-0.030369,9.807434,-0.001516,-0.000388,0.005703
0.195000,0.047018,-0.022720,9.791914,0.000327,0.001145,0.004952
0.196000,0.052897,-0.027060,9.797532,0.000111,0.000742,0.004874
0.197000,0.054091,-0.017196,9.811084,-0.000377,-0.000531,0.005431
0.198000,0.050172,-0.029840,9.826043,0.001344,-0.000056,0.004208
0.199000,0.049425,-0.031448,9.795186,-0.000110,-0.000831,0.003774
0.200000,0.040464,-0.032705,9.806006,-0.000502,0.001046,0.006248
0.201000,0.047427,-0.050384,9.806034,0.000253,-0.000773,0.004761
0.202000,0.054616,-0.031249,9.822757,0.000149,-0.003037,0.004831
0.203000,0.072300,-0.020114,9.822399,-0.000960,-0.002020,0.005476
0.204000,0.052675,-0.020615,9.798854,0.000146,-0.000354,0.006099
0.205000,0.059572,-0.019448,9.803606,-0.000358,0.001745,0.004593
0.206000,0.062974,-0.031137,9.823211,0.000318,-0.000137,0.006606
0.207000,0.045106,-0.017710,9.797246,0.000619,-0.000434,0.004732
0.208000,0.046041,-0.031103,9.797003,-0.001101,0.001440,0.005938
0.209000,0.042062,-0.026096,9.806574,0.001447,0.001565,0.007133
0.210000,0.045328,-0.024310,9.797732,-0.000530,0.001076,0.003833
0.211000,0.045278,-0.031448,9.787346,-0.000142,-0.000333,0.007464
0.212000,0.052268,-0.036694,9.801264,-0.000364,-0.000368,0.004330
0.213000,0.057073,-0.023119,9.798608,0.000348,-0.001250,0.004608
0.214000,0.064931,-0.036036,9.800553,-0.002209,0.001757,0.004588
0.215000,0.040751,-0.041592,9.799316,-0.001386,-0.000403,0.007142
0.216000,0.055642,-0.024025,9.825977,0.001251,-0.000553,0.005887
0.217000,0.044868,-0.035986,9.805598,0.000060,0.001152,0.005363
0.218000,0.042759,-0.016689,9.804747,0.000164,0.000131,0.004842
0.219000,0.043907,-0.019408,9.798626,-0.000891,-0.000769,0.002347
0.220000,0.042443,-0.029467,9.796628,0.001020,0.000158,0.007311
0.221000,0.042193,-0.014892,9.797018,0.000140,-0.000671,0.004968
0.222000,0.059188,-0.023340,9.801027,-0.000029,-0.001467,0.005482
0.223000,0.045013,-0.025424,9.795166,0.000610,-0.001344,0.005348
0.224000,0.047859,-0.027799,9.811479,-0.001667,0.000972,0.004334
0.225000,0.052896,-0.033481,9.809066,0.001260,0.000098,0.002841
0.226000,0.085517,-0.011790,9.808458,0.002382,-0.000524,0.004031
0.227000,0.053159,-0.027084,9.802830,-0.000214,-0.001071,0.003110
0.228000,0.041632,-0.039232,9.821438,-0.000675,0.000221,0.006032
0.229000,0.036391,-0.007591,9.798054,-0.001642,-0.001432,0.004312
0.230000,0.048397,-0.028701,9.820369,-0.000046,-0.001650,0.004561
0.231000,0.059923,-0.025494,9.797433,0.000757,-0.000083,0.005566
0.232000,0.043051,-0.010128,9.815355,-0.000275,0.001390,0.004996
0.233000,0.048437,-0.016244,9.790472,0.000290,-0.001505,0.004385
0.234000,0.061537,-0.019378,9.799443,-0.000614,0.000659,0.004792
0.235000,0.050349,-0.029667,9.789954,0.000868,-0.001076,0.004073
0.236000,0.057750,-0.029864,9.801802,0.000223,0.000933,0.006895
0.237000,0.048210,-0.025831,9.796735,-0.000583,0.001865,0.003054
0.238000,0.060153,-0.025941,9.810585,-0.000019,0.000524,0.004493
0.239000,0.044420,-0.026408,9.823341,0.001894,0.000409,0.004466
0.240000,0.043575,-0.030957,9.795521,-0.000481,-0.000028,0.003046
0.241000,0.036653,-0.025263,9.812212,0.001300,-0.001246,0.004964
0.242000,0.064516,-0.017393,9.814816,-0.001641,-0.000358,0.003543
0.243000,0.037733,-0.021890,9.799900,-0.001051,-0.000996,0.005888
0.244000,0.049292,-0.002888,9.804432,0.000280,0.000876,0.006339
0.245000,0.053766,-0.020342,9.814334,-0.001102,0.000267,0.004555
0.246000,0.061373,-0.029965,9.792930,0.000587,-0.002530,0.004389
0.247000,0.052364,-0.018615,9.803093,0.000469,-0.000566,0.006018
0.248000,0.054751,-0.023914,9.795217,0.000020,0.001436,0.006415
0.249000,0.053331,-0.039415,9.809622,-0.000874,0.000845,0.004494
0.250000,0.042338,-0.019142,9.830591,-0.000404,0.000491,0.004820
0.251000,0.053168,-0.035085,9.817917,0.002011,-0.000022,0.005345
0.252000,0.056551,-0.023171,9.804977,-0.001699,0.000976,0.005218
0.253000,0.056456,-0.040814,9.826420,-0.000169,0.000210,0.002990
0.254000,0.052681,-0.041104,9.814476,0.001282,-0.000290,0.004541
0.255000,0.064451,-0.035874,9.792158,-0.000800,0.001033,0.005777
0.256000,0.052880,-0.040639,9.807481,-0.000050,-0.000660,0.005144
0.257000,0.049749,-0.023306,9.792101,-0.000101,0.000909,0.004908
0.258000,0.058372,-0.026142,9.814408,-0.000056,-0.000917,0.005248
0.259000,0.054072,-0.013669,9.813642,0.000546,0.000497,0.005362
0.260000,0.050677,-0.040584,9.796363,0.000418,-0.000844,0.004282
0.261000,0.038170,-0.038009,9.819451,0.001544,-0.000319,0.005852
0.262000,0.045569,-0.028831,9.809919,0.000794,-0.001659,0.007103
0.263000,0.041987,-0.038318,9.817213,-0.001096,-0.001222,0.005226
0.264000,0.043071,-0.037790,9.829346,-0.000334,-0.000032,0.005139
0.265000,0.054722,-0.029449,9.795515,0.001008,-0.001042,0.005284
0.266000,0.047314,-0.018688,9.796509,-0.000216,-0.000672,0.006154
0.267000,0.043432,-0.038197,9.832196,-0.000022,0.000372,0.004394
0.268000,0.044832,-0.041828,9.799006,-0.000064,0.000684,0.005064
0.269000,0.065076,-0.032295,9.814399,0.000326,-0.000481,0.004665
0.270000,0.039307,-0.030414,9.801884,-0.000379,0.000798,0.004310
0.271000,0.061327,-0.024897,9.797211,-0.000504,0.000677,0.005564
0.272000,0.044408,-0.037782,9.782576,-0.001054,0.000488,0.005092
0.273000,0.049654,-0.035456,9.821227,-0.000111,-0.000427,0.006371
0.274000,0.058273,-0.025873,9.813831,-0.002633,0.002429,0.005592
0.275000,0.055794,-0.040751,9.806552,0.000641,-0.000919,0.004205
0.276000,0.058737,-0.021970,9.808738,-0.000380,0.001141,0.003771
0.277000,0.036863,-0.031359,9.806022,0.000818,0.001235,0.005191
0.278000,0.034769,-0.021258,9.808303,0.000276,0.000276,0.005567
0.279000,0.059673,-0.023153,9.827321,0.000466,-0.000034,0.004574
0.280000,0.040529,-0.027046,9.807071,-0.001291,0.000844,0.005019
0.281000,0.056019,-0.031041,9.792343,-0.000286,-0.000602,0.005609
0.282000,0.045063,-0.020617,9.798948,-0.000217,-0.000480,0.005726
0.283000,0.047416,-0.019964,9.809873,0.000100,0.000839,0.004476
0.284000,0.050838,-0.020667,9.804583,0.000646,0.000019,0.004817
0.285000,0.045752,-0.015678,9.801071,-0.001192,-0.001988,0.004954
0.286000,0.052376,-0.026785,9.811936,0.000076,-0.000417,0.003399
0.287000,0.051769,-0.027086,9.800335,0.001783,0.000678,0.005238
0.288000,0.042433,-0.015279,9.807870,0.000650,-0.001271,0.005899
0.289000,0.051554,-0.016919,9.779833,-0.000161,-0.000127,0.005359
0.290000,0.058197,-0.025629,9.776316,-0.002107,-0.000755,0.005865
0.291000,0.041804,-0.042404,9.806650,0.001185,0.000264,0.004913
0.292000,0.031476,-0.025901,9.781953,0.000343,-0.000757,0.004820
0.293000,0.056684,-0.034441,9.818838,0.000489,0.001679,0.005042
0.294000,0.065224,-0.019123,9.814258,0.001285,-0.001459,0.004719
0.295000,0.039459,-0.029387,9.809825,0.001319,0.001227,0.003791
0.296000,0.048962,-0.020045,9.802426,0.000487,-0.000114,0.006010
0.297000,0.050949,-0.027015,9.812238,-0.000158,-0.000717,0.006283
0.298000,0.041062,-0.039095,9.806214,-0.001428,0.001123,0.004079
0.299000,0.031254,-0.054275,9.827057,-0.000460,0.000408,0.005294
0.300000,0.056958,-0.024861,9.809450,-0.000018,-0.000472,0.004965
0.301000,0.020879,-0.021781,9.795145,-0.000978,-0.000893,0.004339
0.302000,0.050958,-0.034421,9.807438,-0.001461,-0.000353,0.004853
0.303000,0.042244,-0.024517,9.822414,-0.001163,0.000760,0.003411
0.304000,0.047695,-0.021039,9.817113,-0.000099,0.001784,0.005978
0.305000,0.051362,-0.008861,9.797904,-0.000390,-0.001225,0.005019
0.306000,0.045406,-0.012068,9.811462,-0.000289,-0.000678,0.005071
0.307000,0.064711,-0.022247,9.807490,-0.000703,0.000571,0.006375
0.308000,0.051650,-0.033784,9.809238,0.000118,-0.000007,0.005064
0.309000,0.043524,-0.027915,9.816830,0.001560,0.000018,0.004346
0.310000,0.062853,-0.031516,9.807918,-0.000046,-0.000881,0.004922
0.311000,0.045235,-0.039018,9.791908,0.000403,0.000293,0.005178
0.312000,0.062440,-0.028665,9.805888,-0.001454,-0.000963,0.004622
0.313000,0.063929,-0.029228,9.809179,0.000812,-0.001308,0.006831
0.314000,0.058611,-0.034832,9.798277,0.000835,0.000578,0.003694
0.315000,0.055574,-0.041665,9.825921,-0.000748,0.000666,0.004176
0.316000,0.064910,-0.024183,9.806218,-0.000723,-0.000288,0.004725
0.317000,0.060048,-0.052801,9.791135,0.001001,-0.000319,0.003901
0.318000,0.029061,-0.045870,9.803062,-0.001478,-0.000589,0.005387
0.319000,0.045185,-0.034524,9.807864,-0.000401,-0.000098,0.004696
0.320000,0.053491,-0.032155,9.816528,-0.001270,0.000871,0.003883
0.321000,0.049657,-0.037973,9.797357,-0.000256,-0.000884,0.005604
0.322000,0.055981,-0.017253,9.806787,-0.000610,-0.001223,0.005007
0.323000,0.047741,-0.048584,9.807821,0.000143,-0.000341,0.004736
0.324000,0.051185,-0.036814,9.823998,0.001430,-0.000962,0.005144
0.325000,0.054966,-0.051242,9.811272,0.000798,-0.000509,0.005256
0.326000,0.047673,-0.024714,9.811150,0.000253,-0.000099,0.004161
0.327000,0.055498,-0.028352,9.818239,-0.000576,-0.000771,0.005267
0.328000,0.066408,-0.040812,9.816092,0.000522,-0.000452,0.004463
0.329000,0.059269,-0.019047,9.795971,0.001567,-0.001115,0.005300
0.330000,0.050780,-0.033902,9.791001,-0.001982,-0.000182,0.004656
0.331000,0.050904,-0.025272,9.792835,-0.000292,0.000279,0.004200
0.332000,0.046678,-0.026524,9.799488,-0.000491,0.000200,0.005965
0.333000,0.035883,-0.027605,9.807284,-0.001228,-0.000238,0.006016
0.334000,0.062098,-0.029118,9.830842,-0.000922,0.000493,0.003363
0.335000,0.047476,-0.020229,9.801292,-0.000961,-0.001237,0.004448
0.336000,0.054915,-0.016525,9.817456,0.000353,-0.002085,0.004963
0.337000,0.041715,-0.020444,9.797266,-0.001252,-0.000303,0.006040
0.338000,0.043712,-0.032473,9.791787,0.001055,-0.000921,0.004212
0.339000,0.047277,-0.021889,9.798145,-0.001341,-0.000018,0.005212
0.340000,0.064806,-0.027258,9.801643,0.000363,-0.002912,0.004270
0.341000,0.056591,-0.033982,9.804355,0.000836,-0.000663,0.006446
