t,n,x_n,y_n,x_degenerate,y_degenerate
13.901,491,245,246,0,0
13.926,489,244,245,0,0
13.951,490,245,245,0,0
13.976,491,245,246,0,0
14.001,491,245,246,0,0
14.026,490,245,245,0,0
14.051,489,244,245,0,0
14.101,490,245,245,0,0
14.126,491,245,246,0,0
14.151,492,246,246,0,0
14.176,490,245,245,0,0
14.201,490,245,245,0,0
14.226,490,245,245,0,0
14.251,490,245,245,0,0
14.276,492,246,246,0,0
14.301,491,245,246,0,0
14.326,490,245,245,0,0
14.351,490,245,245,0,0
14.376,490,245,245,0,0
14.401,490,245,245,0,0
14.426,491,245,246,0,0
14.451,491,245,246,0,0
14.476,509,254,255,0,0
14.501,492,246,246,0,0
14.526,492,246,246,0,0
14.551,490,245,245,0,0
14.576,491,245,246,0,0
14.601,490,245,245,0,0
14.626,491,245,246,0,0
14.651,490,245,245,0,0
14.676,490,245,245,0,0
14.701,490,245,245,0,0
14.726,494,247,247,0,0
14.751,490,245,245,0,0
14.776,494,247,247,0,0
14.801,485,242,243,0,0
14.826,509,254,255,0,0
14.851,490,245,245,0,0
14.876,490,245,245,0,0
14.901,492,246,246,0,0
14.951,492,246,246,0,0
14.976,490,245,245,0,0
15.001,490,245,245,0,0
15.026,490,245,245,0,0
15.051,489,244,245,0,0
15.076,491,245,246,0,0
15.101,490,245,245,0,0
15.126,487,243,244,0,0
15.151,490,245,245,0,0
15.176,491,245,246,0,0
15.201,490,245,245,0,0
15.226,491,245,246,0,0
15.251,492,246,246,0,0
15.276,493,246,247,0,0
15.301,490,245,245,0,0
15.326,490,245,245,0,0
15.351,490,245,245,0,0
15.376,491,245,246,0,0
15.401,492,246,246,0,0
15.426,490,245,245,0,0
15.451,490,245,245,0,0
15.476,491,245,246,0,0
15.501,491,245,246,0,0
15.526,491,245,246,0,0
15.551,491,245,246,0,0
15.576,491,245,246,0,0
15.601,493,246,247,0,0
15.626,510,255,255,0,0
15.651,491,245,246,0,0
15.676,490,245,245,0,0
15.701,490,245,245,0,0
15.726,490,245,245,0,0
15.751,491,245,246,0,0
15.776,490,245,245,0,0
15.801,490,245,245,0,0
15.826,490,245,245,0,0
15.851,490,245,245,0,0
15.876,494,247,247,0,0
15.901,491,245,246,0,0
15.926,490,245,245,0,0
15.951,490,245,245,0,0
15.976,489,244,245,0,0
16.026,490,245,245,0,0
16.051,490,245,245,0,0
16.076,493,246,247,0,0
16.101,490,245,245,0,0
16.126,490,245,245,0,0
16.151,490,245,245,0,0
16.176,490,245,245,0,0
16.201,490,245,245,0,0
16.226,492,246,246,0,0
16.251,490,245,245,0,0
16.276,490,245,245,0,0
16.301,491,245,246,0,0
16.326,491,245,246,0,0
16.351,489,244,245,0,0
16.376,491,245,246,0,0
16.401,492,246,246,0,0
16.426,492,246,246,0,0
16.451,490,245,245,0,0
16.476,493,246,247,0,0
16.501,493,246,247,0,0
16.526,489,244,245,0,0
16.551,490,245,245,0,0
16.576,490,245,245,0,0
16.601,490,245,245,0,0
16.626,490,245,245,0,0
16.651,490,245,245,0,0
16.676,491,245,246,0,0
16.701,491,245,246,0,0
16.726,490,245,245,0,0
16.751,491,245,246,0,0
16.776,491,245,246,0,0
16.801,492,246,246,0,0
16.826,491,245,246,0,0
16.851,492,246,246,0,0
16.876,491,245,246,0,0
16.901,491,245,246,0,0
16.926,491,245,246,0,0
16.951,491,245,246,0,0
16.976,493,246,247,0,0
17.001,491,245,246,0,0
17.026,492,246,246,0,0
17.051,491,245,246,0,0
17.076,490,245,245,0,0
17.101,490,245,245,0,0
17.126,490,245,245,0,0
17.151,490,245,245,0,0
17.176,490,245,245,0,0
17.201,490,245,245,0,0
17.226,491,245,246,0,0
17.251,490,245,245,0,0
17.276,490,245,245,0,0
17.301,490,245,245,0,0
17.326,491,245,246,0,0
17.351,491,245,246,0,0
17.376,495,247,248,0,0
17.401,490,245,245,0,0
17.426,490,245,245,0,0
17.451,491,245,246,0,0
17.476,491,245,246,0,0
17.501,491,245,246,0,0
17.526,491,245,246,0,0
17.551,491,245,246,0,0
17.576,491,245,246,0,0
17.601,491,245,246,0,0
17.626,491,245,246,0,0
17.651,491,245,246,0,0
17.676,492,246,246,0,0
17.701,510,255,255,0,0
17.726,491,245,246,0,0
17.751,491,245,246,0,0
17.776,491,245,246,0,0
17.801,491,245,246,0,0
17.826,490,245,245,0,0
17.851,492,246,246,0,0
17.876,492,246,246,0,0
17.901,492,246,246,0,0
17.926,490,245,245,0,0
17.951,491,245,246,0,0
17.976,490,245,245,0,0
18.001,491,245,246,0,0
18.026,490,245,245,0,0
18.051,490,245,245,0,0
18.076,494,247,247,0,0
18.101,490,245,245,0,0
18.126,492,246,246,0,0
18.151,509,254,255,0,0
18.176,490,245,245,0,0
18.201,492,246,246,0,0
18.226,492,246,246,0,0
18.251,492,246,246,0,0
18.276,491,245,246,0,0
18.301,490,245,245,0,0
18.326,490,245,245,0,0
18.351,489,244,245,0,0
18.376,491,245,246,0,0
18.401,493,246,247,0,0
18.426,491,245,246,0,0
18.451,490,245,245,0,0
18.476,491,245,246,0,0
18.501,492,246,246,0,0
18.526,489,244,245,0,0
18.551,491,245,246,0,0
18.576,491,245,246,0,0
18.601,491,245,246,0,0
18.626,491,245,246,0,0
18.651,491,245,246,0,0
18.676,492,246,246,0,0
18.701,492,246,246,0,0
18.726,491,245,246,0,0
18.751,490,245,245,0,0
18.776,493,246,247,0,0
18.801,491,245,246,0,0
18.826,490,245,245,0,0
18.851,491,245,246,0,0
18.876,490,245,245,0,0
18.901,490,245,245,0,0
